protocol,payload_profile,stage_concurrency,vus,samples,latency_avg_mean_ms,latency_avg_median_ms,latency_avg_stdev_ms,latency_p95_mean_ms,latency_p95_median_ms,latency_p95_stdev_ms,throughput_mean_rps,throughput_median_rps,throughput_stdev_rps,total_failure_mean_pct,total_failure_median_pct,total_failure_stdev_pct,slow_failure_mean_pct,slow_failure_median_pct,slow_failure_stdev_pct,cpu_avg_mean_pct,cpu_avg_median_pct,cpu_avg_stdev_pct,cpu_peak_mean_pct,cpu_peak_median_pct,cpu_peak_stdev_pct,mem_used_mean_mb,mem_used_median_mb,mem_used_stdev_mb
GRPC,heavy,50,100,1,276.65,276.65,,304.92,304.92,,361.23,361.23,,0.0,0.0,,0.0,0.0,,79.69,79.69,,131.2,131.2,,3660.0,3660.0,
GRPC,heavy,50,200,2,332.51,332.51,6.92,364.6,364.6,2.97,614.02,614.02,5.79,0.0,0.0,0.0,0.0,0.0,0.0,119.16,119.16,0.41,161.49,161.49,6.39,3706.0,3706.0,31.11
GRPC,heavy,50,400,2,509.06,509.06,14.96,635.01,635.01,11.78,801.04,801.04,1.86,0.1,0.1,0.06,0.1,0.1,0.06,160.45,160.45,2.81,195.49,195.49,18.46,3796.0,3796.0,35.36
GRPC,heavy,50,800,2,972.24,972.24,18.0,1165.0,1165.0,21.21,834.99,834.99,41.19,37.16,37.16,7.44,37.16,37.16,7.44,173.81,173.81,6.94,190.78,190.78,8.66,4090.0,4090.0,45.25
GRPC,heavy,50,1000,1,1170.0,1170.0,,1470.0,1470.0,,842.16,842.16,,87.07,87.07,,87.07,87.07,,187.47,187.47,,216.4,216.4,,4225.0,4225.0,
GRPC,heavy,100,100,1,280.91,280.91,,312.74,312.74,,356.22,356.22,,0.0,0.0,,0.0,0.0,,70.97,70.97,,128.22,128.22,,3665.0,3665.0,
GRPC,heavy,100,200,2,370.61,370.61,3.63,413.26,413.26,1.37,551.42,551.42,10.71,0.0,0.0,0.0,0.0,0.0,0.0,103.59,103.59,0.01,145.86,145.86,6.97,3749.5,3749.5,13.44
GRPC,heavy,100,400,2,559.86,559.86,16.3,620.34,620.34,13.62,729.81,729.81,1.83,0.05,0.05,0.07,0.05,0.05,0.07,138.22,138.22,1.2,184.24,184.24,7.05,3796.5,3796.5,9.19
GRPC,heavy,100,800,2,968.07,968.07,23.83,1085.0,1085.0,21.21,841.11,841.11,5.06,30.7,30.7,11.85,30.7,30.7,11.85,165.61,165.61,5.64,199.07,199.07,21.7,4097.5,4097.5,33.23
GRPC,heavy,100,1000,1,1150.0,1150.0,,1310.0,1310.0,,861.15,861.15,,92.84,92.84,,92.84,92.84,,178.49,178.49,,201.49,201.49,,4241.0,4241.0,
GRPC,heavy,150,100,1,280.45,280.45,,315.95,315.95,,356.36,356.36,,0.0,0.0,,0.0,0.0,,73.49,73.49,,129.15,129.15,,3667.0,3667.0,
GRPC,heavy,150,200,2,375.0,375.0,7.5,422.67,422.67,6.68,544.52,544.52,5.82,0.0,0.0,0.0,0.0,0.0,0.0,104.06,104.06,1.45,146.81,146.81,3.77,3747.5,3747.5,26.16
GRPC,heavy,150,400,2,568.32,568.32,22.07,640.08,640.08,28.02,719.57,719.57,4.66,0.06,0.06,0.05,0.06,0.06,0.05,137.32,137.32,2.79,187.71,187.71,5.32,3813.5,3813.5,6.36
GRPC,heavy,150,800,2,966.0,966.0,48.08,1125.0,1125.0,91.92,841.55,841.55,18.17,29.98,29.98,21.79,29.98,29.98,21.79,164.88,164.88,6.11,195.24,195.24,0.09,4168.5,4168.5,3.54
GRPC,heavy,150,1000,1,1150.0,1150.0,,1310.0,1310.0,,862.07,862.07,,92.9,92.9,,92.9,92.9,,178.25,178.25,,212.08,212.08,,4306.0,4306.0,
GRPC,heavy,10000,100,1,282.69,282.69,,314.61,314.61,,358.79,358.79,,0.0,0.0,,0.0,0.0,,69.62,69.62,,130.05,130.05,,3683.0,3683.0,
GRPC,heavy,10000,200,1,412.76,412.76,,453.98,453.98,,490.57,490.57,,0.0,0.0,,0.0,0.0,,92.24,92.24,,137.38,137.38,,3726.0,3726.0,
GRPC,heavy,10000,400,1,634.1,634.1,,719.8,719.8,,637.81,637.81,,0.01,0.01,,0.01,0.01,,122.11,122.11,,174.1,174.1,,3946.0,3946.0,
GRPC,heavy,10000,800,1,989.54,989.54,,1140.0,1140.0,,806.12,806.12,,28.55,28.55,,28.55,28.55,,163.83,163.83,,196.85,196.85,,4237.0,4237.0,
GRPC,heavy,10000,1000,1,1380.0,1380.0,,1610.0,1610.0,,733.87,733.87,,94.4,94.4,,94.4,94.4,,145.63,145.63,,189.08,189.08,,4396.0,4396.0,
GRPC,small,50,100,3,210.0,209.96,0.36,219.67,218.91,2.53,501.18,501.35,1.19,0.0,0.0,0.0,0.0,0.0,0.0,65.04,65.01,0.4,109.93,108.4,9.74,3597.67,3596.0,21.55
GRPC,small,50,200,4,222.14,221.92,1.55,240.29,239.69,1.7,944.51,944.63,5.51,0.0,0.0,0.0,0.0,0.0,0.0,97.17,97.05,1.88,137.01,136.87,20.68,3640.25,3590.5,104.56
GRPC,small,50,400,4,402.18,402.21,0.37,408.52,408.55,0.4,1041.65,1044.76,7.64,0.0,0.0,0.0,0.0,0.0,0.0,112.5,112.28,2.89,145.09,127.05,37.65,3673.25,3631.5,89.47
GRPC,small,50,800,4,801.1,801.31,0.65,813.37,813.32,1.43,1040.57,1043.85,6.89,0.0,0.0,0.0,0.0,0.0,0.0,111.33,111.83,2.11,145.54,146.71,11.38,3767.75,3724.5,95.02
GRPC,small,50,1000,3,999.09,1000.0,1.57,1010.0,1010.0,0.0,1041.98,1042.11,0.34,81.7,80.71,2.66,81.7,80.71,2.66,109.96,109.45,2.48,151.71,146.94,8.7,3778.67,3773.0,9.81
GRPC,small,100,100,3,210.78,210.3,1.35,220.64,219.12,3.63,501.8,503.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,63.65,1.81,117.36,116.52,9.04,3614.67,3624.0,16.17
GRPC,small,100,200,4,224.55,225.33,2.82,248.38,246.44,10.63,938.33,938.92,4.76,0.0,0.0,0.0,0.0,0.0,0.0,93.15,91.78,3.86,138.77,147.56,21.01,3671.5,3627.0,90.34
GRPC,small,100,400,4,279.94,280.12,2.07,309.31,310.63,2.92,1503.9,1501.92,13.01,0.0,0.0,0.0,0.0,0.0,0.0,133.34,132.65,2.37,171.63,157.35,34.47,3712.25,3668.5,103.22
GRPC,small,100,800,4,507.69,507.81,5.51,568.34,569.3,5.01,1631.01,1631.82,8.26,0.0,0.0,0.0,0.0,0.0,0.0,143.68,142.93,1.77,165.86,166.48,6.55,3808.25,3774.5,77.71
GRPC,small,100,1000,3,637.05,632.17,10.57,727.58,733.87,16.85,1596.61,1597.85,2.61,0.0,0.0,0.0,0.0,0.0,0.0,143.03,142.98,0.27,168.48,171.32,6.09,3800.0,3798.0,10.15
GRPC,small,150,200,1,225.37,225.37,,252.97,252.97,,923.73,923.73,,0.0,0.0,,0.0,0.0,,95.36,95.36,,137.5,137.5,,3741.0,3741.0,
GRPC,small,150,400,1,284.96,284.96,,320.85,320.85,,1460.86,1460.86,,0.0,0.0,,0.0,0.0,,134.98,134.98,,235.48,235.48,,3785.0,3785.0,
GRPC,small,150,800,1,507.09,507.09,,567.8,567.8,,1617.5,1617.5,,0.0,0.0,,0.0,0.0,,146.56,146.56,,181.1,181.1,,3885.0,3885.0,
GRPC,small,10000,100,3,208.48,208.04,1.01,216.69,215.54,2.5,481.86,482.62,2.44,0.0,0.0,0.0,0.0,0.0,0.0,65.26,66.42,2.04,117.85,125.43,16.84,3548.33,3539.0,26.27
GRPC,small,10000,200,4,218.97,217.53,4.09,234.54,232.44,7.86,923.57,925.23,5.17,0.0,0.0,0.0,0.0,0.0,0.0,96.06,96.22,3.22,155.0,154.14,4.81,3618.5,3579.0,95.95
GRPC,small,10000,400,4,281.62,277.37,10.09,316.88,310.66,18.21,1433.29,1438.67,19.43,0.0,0.0,0.0,0.0,0.0,0.0,128.47,127.85,2.11,174.77,159.06,40.42,3656.0,3610.5,93.36
GRPC,small,10000,800,4,499.37,493.08,16.79,575.07,567.25,22.48,1602.07,1605.53,19.1,0.0,0.0,0.0,0.0,0.0,0.0,144.46,144.95,2.85,205.24,206.19,38.15,3724.5,3686.5,110.81
GRPC,small,10000,1000,3,608.08,608.91,4.17,706.79,706.47,7.8,1604.46,1605.55,2.48,0.0,0.0,0.0,0.0,0.0,0.0,149.91,149.87,0.74,225.58,225.41,5.03,3749.0,3745.0,9.64
RABBIT,heavy,50,100,1,207.91,207.91,,214.66,214.66,,479.08,479.08,,0.0,0.0,,0.0,0.0,,108.44,108.44,,255.34,255.34,,3723.0,3723.0,
RABBIT,heavy,50,200,1,212.57,212.57,,222.11,222.11,,937.21,937.21,,0.0,0.0,,0.0,0.0,,168.15,168.15,,326.79,326.79,,3813.0,3813.0,
RABBIT,heavy,50,400,1,410.64,410.64,,430.9,430.9,,968.41,968.41,,0.0,0.0,,0.0,0.0,,159.14,159.14,,309.56,309.56,,3866.0,3866.0,
RABBIT,heavy,50,800,1,818.97,818.97,,846.53,846.53,,967.8,967.8,,0.12,0.12,,0.12,0.12,,167.68,167.68,,343.87,343.87,,3900.0,3900.0,
RABBIT,heavy,50,1000,1,1020.0,1020.0,,1050.0,1050.0,,968.19,968.19,,94.99,94.99,,94.99,94.99,,160.33,160.33,,308.7,308.7,,3952.0,3952.0,
RABBIT,heavy,100,100,1,207.62,207.62,,214.65,214.65,,479.58,479.58,,0.0,0.0,,0.0,0.0,,100.85,100.85,,234.7,234.7,,3746.0,3746.0,
RABBIT,heavy,100,200,2,207.06,207.06,0.66,214.57,214.57,1.24,979.34,979.34,26.77,0.0,0.0,0.0,0.0,0.0,0.0,166.84,166.84,5.98,326.48,326.48,35.97,3858.5,3858.5,53.03
RABBIT,heavy,100,400,2,214.24,214.24,0.74,225.39,225.39,1.18,1890.38,1890.38,52.61,0.0,0.0,0.0,0.0,0.0,0.0,323.42,323.42,9.28,492.33,492.33,4.43,3956.5,3956.5,23.33
RABBIT,heavy,100,800,2,412.66,412.66,3.78,430.17,430.17,1.73,1952.15,1952.15,55.28,0.0,0.0,0.0,0.0,0.0,0.0,356.19,356.19,14.64,518.28,518.28,42.15,4007.0,4007.0,43.84
RABBIT,heavy,100,1000,1,518.2,518.2,,534.72,534.72,,1914.58,1914.58,,0.14,0.14,,0.14,0.14,,336.87,336.87,,516.14,516.14,,4048.0,4048.0,
RABBIT,heavy,150,100,1,207.45,207.45,,214.56,214.56,,480.1,480.1,,0.0,0.0,,0.0,0.0,,108.68,108.68,,231.64,231.64,,3743.0,3743.0,
RABBIT,heavy,150,200,2,206.97,206.97,0.43,214.58,214.58,0.64,979.77,979.77,27.0,0.0,0.0,0.0,0.0,0.0,0.0,169.05,169.05,1.14,336.11,336.11,32.92,3828.5,3828.5,36.06
RABBIT,heavy,150,400,2,209.97,209.97,0.71,220.27,220.27,0.87,1930.54,1930.54,55.79,0.0,0.0,0.0,0.0,0.0,0.0,338.13,338.13,12.69,486.68,486.68,16.8,3963.5,3963.5,0.71
RABBIT,heavy,150,800,2,289.99,289.99,2.07,312.75,312.75,1.99,2788.2,2788.2,83.63,0.06,0.06,0.03,0.06,0.06,0.03,471.36,471.36,19.04,636.15,636.15,0.54,4068.5,4068.5,6.36
RABBIT,heavy,150,1000,1,362.85,362.85,,384.25,384.25,,2737.21,2737.21,,0.17,0.17,,0.17,0.17,,468.77,468.77,,651.09,651.09,,4125.0,4125.0,
RABBIT,heavy,10000,100,1,206.16,206.16,,215.61,215.61,,487.63,487.63,,0.0,0.0,,0.0,0.0,,103.33,103.33,,237.53,237.53,,3737.0,3737.0,
RABBIT,heavy,10000,200,2,206.35,206.35,0.48,214.93,214.93,0.76,987.1,987.1,18.36,0.0,0.0,0.0,0.0,0.0,0.0,164.16,164.16,6.51,324.12,324.12,21.29,3993.5,3993.5,279.31
RABBIT,heavy,10000,400,2,209.59,209.59,1.28,221.57,221.57,2.67,1941.69,1941.69,28.28,0.0,0.0,0.0,0.0,0.0,0.0,339.22,339.22,19.4,497.41,497.41,12.95,4085.5,4085.5,284.96
RABBIT,heavy,10000,800,2,264.75,264.75,7.02,300.72,300.72,9.86,3066.79,3066.79,20.8,0.03,0.03,0.04,0.03,0.03,0.04,478.24,478.24,6.33,632.35,632.35,3.25,4320.0,4320.0,292.74
RABBIT,heavy,10000,1000,1,320.38,320.38,,363.78,363.78,,3118.6,3118.6,,0.15,0.15,,0.15,0.15,,496.21,496.21,,655.52,655.52,,4213.0,4213.0,
RABBIT,small,50,100,3,208.89,208.77,0.27,242.24,243.35,2.99,497.95,498.18,0.48,0.0,0.0,0.0,0.0,0.0,0.0,65.92,65.49,1.57,196.45,198.08,3.49,3536.0,3541.0,10.44
RABBIT,small,50,200,4,211.87,212.05,0.44,255.96,257.0,2.27,977.8,980.2,8.19,0.0,0.0,0.0,0.0,0.0,0.0,81.91,76.78,10.9,239.72,214.0,51.84,3605.25,3559.5,101.58
RABBIT,small,50,400,4,402.84,402.92,0.36,415.91,415.88,0.21,1020.11,1023.17,7.69,0.0,0.0,0.0,0.0,0.0,0.0,77.79,79.12,3.09,216.96,217.86,3.72,3656.75,3627.0,87.94
RABBIT,small,50,800,4,792.91,792.88,1.14,830.69,830.92,0.9,1019.21,1022.32,7.11,0.01,0.01,0.01,0.01,0.01,0.01,78.63,79.68,6.41,217.62,217.42,6.23,3697.0,3651.0,97.41
RABBIT,small,50,1000,3,985.36,984.69,1.46,1046.67,1040.0,11.55,1021.44,1022.11,1.85,94.45,94.45,0.03,94.45,94.45,0.03,81.7,85.77,8.17,215.27,214.79,8.98,3689.33,3690.0,4.04
RABBIT,small,100,100,3,208.53,208.52,0.13,240.61,240.7,2.46,501.17,501.23,0.58,0.0,0.0,0.0,0.0,0.0,0.0,62.33,63.34,2.05,196.62,197.2,2.11,3538.33,3528.0,18.77
RABBIT,small,100,200,4,205.9,205.9,0.16,220.97,221.01,0.67,1010.24,1014.88,9.37,0.0,0.0,0.0,0.0,0.0,0.0,94.51,93.19,7.08,230.24,229.51,2.98,3655.5,3630.0,87.88
RABBIT,small,100,400,4,210.21,210.3,0.4,225.06,224.42,2.17,1978.68,1985.38,15.55,0.0,0.0,0.0,0.0,0.0,0.0,130.05,130.12,4.45,266.66,265.91,4.45,3746.0,3715.5,88.67
RABBIT,small,100,800,4,401.96,402.04,0.65,415.9,416.15,0.84,2048.38,2055.11,15.54,0.0,0.0,0.0,0.0,0.0,0.0,126.01,125.16,4.79,271.77,272.84,4.82,3808.25,3769.0,90.32
RABBIT,small,100,1000,3,500.94,500.79,0.43,519.8,519.71,0.91,2055.16,2054.11,1.98,0.0,0.0,0.0,0.0,0.0,0.0,120.78,121.46,1.45,263.63,266.54,5.85,3756.0,3758.0,4.36
RABBIT,small,150,100,3,208.38,208.37,0.09,237.66,237.7,2.37,503.31,503.38,0.42,0.0,0.0,0.0,0.0,0.0,0.0,59.31,60.59,2.61,197.49,199.24,4.16,3522.0,3524.0,7.21
