protocol,payload_profile,stage_concurrency,vus,samples,latency_avg_mean_ms,latency_avg_median_ms,latency_avg_stdev_ms,latency_p95_mean_ms,latency_p95_median_ms,latency_p95_stdev_ms,throughput_mean_rps,throughput_median_rps,throughput_stdev_rps,total_failure_mean_pct,total_failure_median_pct,total_failure_stdev_pct,slow_failure_mean_pct,slow_failure_median_pct,slow_failure_stdev_pct,cpu_avg_mean_pct,cpu_avg_median_pct,cpu_avg_stdev_pct,cpu_peak_mean_pct,cpu_peak_median_pct,cpu_peak_stdev_pct,mem_used_mean_mb,mem_used_median_mb,mem_used_stdev_mb
GRPC,small,50,unknown,18,518.28,402.21,316.54,529.87,408.55,315.86,929.8,1035.96,201.36,13.62,0.0,31.34,13.62,0.0,31.34,100.5,108.83,17.48,138.64,136.87,23.78,3691.89,3675.5,99.8
GRPC,small,100,unknown,18,366.24,280.12,168.56,408.27,310.63,196.51,1254.9,1501.92,438.4,0.0,0.0,0.0,0.0,0.0,0.0,116.63,132.65,31.61,153.47,155.06,27.27,3722.89,3722.5,99.54
GRPC,small,150,unknown,3,339.14,284.96,148.47,380.54,320.85,165.69,1334.03,1460.86,363.86,0.0,0.0,0.0,0.0,0.0,0.0,125.63,134.98,26.85,184.69,181.1,49.09,3803.67,3785.0,73.79
GRPC,small,10000,unknown,18,358.31,277.37,160.24,404.25,310.66,194.85,1227.48,1438.67,433.64,0.0,0.0,0.0,0.0,0.0,0.0,117.86,127.85,31.29,176.13,163.22,43.83,3660.44,3625.0,102.02
RABBIT,heavy,50,100,4,206.38,205.94,1.03,214.93,214.93,0.35,489.07,492.05,6.68,0.0,0.0,0.0,0.0,0.0,0.0,106.02,106.34,2.77,241.71,240.72,10.55,3685.0,3678.5,27.31
RABBIT,heavy,50,200,4,211.07,210.67,1.03,220.86,220.71,0.97,955.58,961.19,12.29,0.0,0.0,0.0,0.0,0.0,0.0,160.91,159.42,5.16,304.42,297.9,15.02,3725.75,3703.0,59.13
RABBIT,heavy,50,400,4,407.21,406.12,2.29,439.6,439.86,8.67,984.45,989.57,10.7,0.0,0.0,0.0,0.0,0.0,0.0,161.88,163.26,7.01,305.85,301.74,15.62,3777.25,3754.0,60.11
RABBIT,heavy,50,800,4,806.23,802.39,8.52,850.12,847.95,6.65,985.25,990.49,11.68,0.14,0.13,0.05,0.14,0.13,0.05,168.62,167.02,10.82,319.36,314.23,17.12,3864.25,3862.5,28.5
RABBIT,heavy,50,1000,4,1004.3,999.54,10.49,1055.0,1055.0,5.77,984.18,988.93,10.69,93.73,93.55,1.03,93.73,93.55,1.03,166.57,164.49,11.75,318.4,308.56,22.27,3914.75,3908.5,26.7
RABBIT,heavy,100,100,4,206.34,206.02,0.87,215.18,215.15,0.55,490.63,494.09,7.39,0.0,0.0,0.0,0.0,0.0,0.0,106.35,106.57,4.32,237.52,237.77,5.93,3643.75,3614.5,69.39
RABBIT,heavy,100,200,5,206.41,206.19,0.71,214.64,214.88,0.72,984.74,987.38,14.33,0.0,0.0,0.0,0.0,0.0,0.0,167.1,169.38,4.94,314.41,307.4,21.22,3741.4,3677.0,110.47
RABBIT,heavy,100,400,5,213.75,213.53,0.58,225.83,225.94,0.79,1899.65,1906.22,27.64,0.0,0.0,0.0,0.0,0.0,0.0,332.97,330.96,11.18,489.05,489.2,10.63,3862.2,3835.0,89.58
RABBIT,heavy,100,800,5,411.13,409.99,2.39,431.24,431.39,1.53,1961.46,1967.98,28.99,0.01,0.0,0.01,0.01,0.0,0.01,346.61,345.84,12.16,515.44,514.97,23.26,3907.6,3869.0,94.93
RABBIT,heavy,100,1000,4,512.53,510.91,3.83,536.87,536.95,2.29,1955.66,1967.9,27.5,0.15,0.15,0.03,0.15,0.15,0.03,334.27,335.23,7.47,506.75,505.43,6.77,3950.5,3929.0,67.01
RABBIT,heavy,150,100,4,206.32,206.12,0.79,215.27,215.34,0.53,494.27,496.66,10.01,0.0,0.0,0.0,0.0,0.0,0.0,102.92,103.44,5.2,232.6,232.44,0.97,3620.25,3587.5,83.87
RABBIT,heavy,150,200,5,206.48,206.23,0.5,214.84,215.04,0.41,988.11,993.74,15.5,0.0,0.0,0.0,0.0,0.0,0.0,168.49,169.55,2.05,317.07,309.25,24.38,3716.6,3651.0,103.91
RABBIT,heavy,150,400,5,209.6,209.46,0.52,220.55,220.89,0.62,1945.75,1956.07,31.25,0.0,0.0,0.0,0.0,0.0,0.0,340.56,340.93,8.15,487.0,488.39,8.78,3827.2,3751.0,125.26
RABBIT,heavy,150,800,5,289.66,289.06,1.25,313.85,313.97,1.83,2808.49,2820.02,46.95,0.05,0.06,0.03,0.05,0.06,0.03,474.86,471.67,12.86,635.86,636.53,2.78,3962.6,3925.0,98.83
RABBIT,heavy,150,1000,4,360.65,359.96,1.47,388.86,389.72,3.24,2801.5,2822.46,42.87,0.15,0.17,0.08,0.15,0.17,0.08,477.99,477.14,8.38,648.5,647.5,12.72,4019.0,3985.5,70.72
RABBIT,heavy,10000,100,4,206.14,206.12,0.16,216.21,216.16,0.53,496.41,499.1,5.86,0.0,0.0,0.0,0.0,0.0,0.0,105.63,104.41,4.13,236.19,237.69,4.1,3520.25,3458.5,145.31
RABBIT,heavy,10000,200,5,206.19,206.08,0.28,214.82,214.75,0.4,994.44,999.38,11.37,0.0,0.0,0.0,0.0,0.0,0.0,165.81,168.51,4.57,313.34,309.07,15.25,3698.8,3515.0,303.22
RABBIT,heavy,10000,400,5,209.49,209.44,0.65,221.43,221.23,1.44,1956.29,1964.84,19.46,0.0,0.0,0.0,0.0,0.0,0.0,335.42,328.63,15.59,498.26,494.72,11.59,3805.6,3638.0,292.79
RABBIT,heavy,10000,800,5,264.3,264.33,3.61,299.76,299.06,5.07,3092.28,3100.99,26.49,0.04,0.04,0.03,0.04,0.04,0.03,482.71,482.71,7.19,631.02,630.39,2.57,4063.6,3922.0,276.65
RABBIT,heavy,10000,1000,4,326.19,327.48,4.07,373.96,376.34,6.94,3120.12,3118.09,11.67,0.12,0.15,0.08,0.12,0.15,0.08,491.0,493.77,8.58,634.23,632.77,16.38,4031.0,3975.5,122.05
RABBIT,small,50,100,3,208.89,208.77,0.27,242.24,243.35,2.99,497.95,498.18,0.48,0.0,0.0,0.0,0.0,0.0,0.0,65.92,65.49,1.57,196.45,198.08,3.49,3536.0,3541.0,10.44
RABBIT,small,50,200,4,211.87,212.05,0.44,255.96,257.0,2.27,977.8,980.2,8.19,0.0,0.0,0.0,0.0,0.0,0.0,81.91,76.78,10.9,239.72,214.0,51.84,3605.25,3559.5,101.58
RABBIT,small,50,400,4,402.84,402.92,0.36,415.91,415.88,0.21,1020.11,1023.17,7.69,0.0,0.0,0.0,0.0,0.0,0.0,77.79,79.12,3.09,216.96,217.86,3.72,3656.75,3627.0,87.94
RABBIT,small,50,800,4,792.91,792.88,1.14,830.69,830.92,0.9,1019.21,1022.32,7.11,0.01,0.01,0.01,0.01,0.01,0.01,78.63,79.68,6.41,217.62,217.42,6.23,3697.0,3651.0,97.41
RABBIT,small,50,1000,3,985.36,984.69,1.46,1046.67,1040.0,11.55,1021.44,1022.11,1.85,94.45,94.45,0.03,94.45,94.45,0.03,81.7,85.77,8.17,215.27,214.79,8.98,3689.33,3690.0,4.04
RABBIT,small,100,100,3,208.53,208.52,0.13,240.61,240.7,2.46,501.17,501.23,0.58,0.0,0.0,0.0,0.0,0.0,0.0,62.33,63.34,2.05,196.62,197.2,2.11,3538.33,3528.0,18.77
RABBIT,small,100,200,4,205.9,205.9,0.16,220.97,221.01,0.67,1010.24,1014.88,9.37,0.0,0.0,0.0,0.0,0.0,0.0,94.51,93.19,7.08,230.24,229.51,2.98,3655.5,3630.0,87.88
RABBIT,small,100,400,4,210.21,210.3,0.4,225.06,224.42,2.17,1978.68,1985.38,15.55,0.0,0.0,0.0,0.0,0.0,0.0,130.05,130.12,4.45,266.66,265.91,4.45,3746.0,3715.5,88.67
RABBIT,small,100,800,4,401.96,402.04,0.65,415.9,416.15,0.84,2048.38,2055.11,15.54,0.0,0.0,0.0,0.0,0.0,0.0,126.01,125.16,4.79,271.77,272.84,4.82,3808.25,3769.0,90.32
RABBIT,small,100,1000,3,500.94,500.79,0.43,519.8,519.71,0.91,2055.16,2054.11,1.98,0.0,0.0,0.0,0.0,0.0,0.0,120.78,121.46,1.45,263.63,266.54,5.85,3756.0,3758.0,4.36
RABBIT,small,150,100,3,208.38,208.37,0.09,237.66,237.7,2.37,503.31,503.38,0.42,0.0,0.0,0.0,0.0,0.0,0.0,59.31,60.59,2.61,197.49,199.24,4.16,3522.0,3524.0,7.21
RABBIT,small,150,200,4,205.99,205.92,0.21,221.49,221.38,0.91,1013.65,1019.37,11.68,0.0,0.0,0.0,0.0,0.0,0.0,93.36,96.53,12.55,227.56,229.23,5.07,3616.25,3582.5,71.22
RABBIT,small,150,400,4,205.66,205.57,0.24,214.69,214.44,0.63,2030.41,2039.81,21.09,0.0,0.0,0.0,0.0,0.0,0.0,149.5,148.0,11.09,289.59,289.53,4.62,3727.5,3695.0,71.17
RABBIT,small,150,800,4,269.53,269.51,0.18,296.82,296.62,1.77,3084.63,3098.06,28.76,0.0,0.0,0.0,0.0,0.0,0.0,176.59,176.21,9.07,321.78,323.06,8.83,3777.25,3745.5,71.71
RABBIT,small,150,1000,3,335.92,335.87,0.25,357.83,357.76,0.36,3099.92,3100.22,1.42,0.0,0.0,0.0,0.0,0.0,0.0,177.26,175.85,4.21,328.63,328.79,1.26,3781.67,3777.0,27.3
RABBIT,small,10000,100,3,210.12,210.0,0.63,232.78,232.94,1.82,474.63,475.09,1.45,0.0,0.0,0.0,0.0,0.0,0.0,67.65,63.85,10.45,195.95,195.22,2.22,3486.67,3495.0,23.63
RABBIT,small,10000,200,4,207.34,207.76,0.92,219.84,219.74,0.53,969.84,960.47,19.26,0.0,0.0,0.0,0.0,0.0,0.0,95.96,96.0,10.82,236.76,228.81,18.12,3573.75,3518.0,113.54
RABBIT,small,10000,400,4,206.7,207.18,1.03,213.18,212.99,0.74,1945.09,1925.83,41.48,0.0,0.0,0.0,0.0,0.0,0.0,151.19,153.49,8.19,286.68,285.27,6.76,3665.25,3611.0,116.64
RABBIT,small,10000,800,4,208.36,208.73,0.91,215.91,215.47,1.22,3856.54,3821.19,75.76,0.0,0.0,0.0,0.0,0.0,0.0,248.47,248.38,2.29,397.23,397.91,6.7,3713.25,3662.0,115.53
RABBIT,small,10000,1000,3,211.74,211.77,0.09,221.27,221.6,0.67,4704.65,4705.1,1.81,0.01,0.0,0.02,0.01,0.0,0.02,276.84,275.89,9.35,424.28,420.3,8.05,3667.0,3669.0,12.12
REST,heavy,50,100,4,204.69,204.13,1.43,210.12,210.1,0.47,491.85,494.76,6.62,0.0,0.0,0.0,0.0,0.0,0.0,150.57,150.23,4.0,195.0,194.43,35.64,3542.75,3538.0,23.5
REST,heavy,50,200,5,321.67,318.75,5.86,347.66,342.63,10.98,626.61,630.65,8.7,0.14,0.14,0.02,0.14,0.14,0.02,184.54,185.68,4.33,206.82,194.53,25.69,3661.8,3638.0,44.82
REST,heavy,50,400,5,658.73,655.32,8.67,694.94,691.84,9.14,608.08,609.76,4.57,0.62,0.68,0.14,0.62,0.68,0.14,181.04,179.69,3.33,204.65,202.35,11.99,3761.0,3742.0,40.54
REST,heavy,50,800,5,1390.0,1370.0,56.12,1300.0,1300.0,38.08,570.94,578.38,23.24,51.21,52.01,5.73,51.21,52.01,5.73,182.52,181.32,6.34,210.24,221.51,17.35,3887.2,3871.0,35.34
REST,heavy,50,1000,4,1677.5,1670.0,15.0,1237.5,1240.0,5.0,588.97,591.3,5.58,41.38,40.98,2.23,41.38,40.98,2.23,181.3,180.8,4.51,221.72,222.09,7.43,3879.75,3866.5,39.05
REST,heavy,100,100,4,204.49,204.05,1.25,209.68,209.68,0.09,494.42,497.75,7.53,0.0,0.0,0.0,0.0,0.0,0.0,146.1,144.69,3.29,181.6,179.28,25.62,3575.75,3561.0,34.36
REST,heavy,100,200,5,315.72,316.62,3.98,339.74,339.47,8.43,639.94,638.82,3.07,0.11,0.13,0.06,0.11,0.13,0.06,183.7,184.88,3.35,201.15,199.02,14.4,3676.0,3647.0,57.45
REST,heavy,100,400,5,656.02,652.61,10.72,690.57,686.17,18.38,612.31,615.12,6.62,0.66,0.7,0.07,0.66,0.7,0.07,181.93,182.24,3.68,208.43,203.86,9.58,3761.2,3724.0,56.82
